STATIONS_ID;MESS_DATUM;  QN;FF_10;DD_10;eor
        342;202012160000;    3;   1.3; 240;eor
        342;202012160010;    3;   1.0; 220;eor
        342;202012160020;    3;   1.4; 190;eor
        342;202012160030;    3;   2.0; 190;eor
        342;202012160040;    3;   1.9; 200;eor
        342;202012160050;    3;   1.7; 220;eor
        342;202012160100;    3;   1.2; 200;eor
        342;202012160110;    3;   1.3; 170;eor
        342;202012160120;    3;   1.3; 160;eor
        342;202012160130;    3;   1.6; 160;eor
        342;202012160140;    3;   1.6; 140;eor
        342;202012160150;    3;   1.7; 150;eor
        342;202012160200;    3;   1.2; 160;eor
        342;202012160210;    3;   2.0; 140;eor
        342;202012160220;    3;   1.8; 140;eor
        342;202012160230;    3;   1.6; 150;eor
        342;202012160240;    3;   0.7; 150;eor
        342;202012160250;    3;   1.2; 120;eor
        342;202012160300;    3;   1.9; 140;eor
        342;202012160310;    3;   1.7; 140;eor
        342;202012160320;    3;   0.8; 160;eor
        342;202012160330;    3;   0.9; 120;eor
        342;202012160340;    3;   2.0; 120;eor
        342;202012160350;    3;   2.1; 130;eor
        342;202012160400;    3;   1.9; 130;eor
        342;202012160410;    3;   1.7; 130;eor
        342;202012160420;    3;   2.2; 130;eor
        342;202012160430;    3;   2.5; 130;eor
        342;202012160440;    3;   3.2; 140;eor
        342;202012160450;    3;   1.7; 140;eor
        342;202012160500;    3;   2.1; 130;eor
        342;202012160510;    3;   2.7; 140;eor
        342;202012160520;    3;   1.5; 200;eor
        342;202012160530;    3;   1.3; 210;eor
        342;202012160540;    3;   1.6; 130;eor
        342;202012160550;    3;   1.0; 130;eor
        342;202012160600;    3;   1.7; 130;eor
        342;202012160610;    3;   2.3; 130;eor
        342;202012160620;    3;   3.6; 120;eor
        342;202012160630;    3;   3.9; 120;eor
        342;202012160640;    3;   2.9; 130;eor
        342;202012160650;    3;   2.6; 130;eor
        342;202012160700;    3;   2.6; 130;eor
        342;202012160710;    3;   2.5; 130;eor
        342;202012160720;    3;   2.9; 130;eor
        342;202012160730;    3;   3.6; 120;eor
        342;202012160740;    3;   3.1; 130;eor
        342;202012160750;    3;   1.9; 130;eor
        342;202012160800;    3;   2.4; 120;eor
        342;202012160810;    3;   1.5; 160;eor
        342;202012160820;    3;   2.7; 140;eor
        342;202012160830;    3;   2.9; 130;eor
        342;202012160840;    3;   4.0; 120;eor
        342;202012160850;    3;   4.6; 120;eor
        342;202012160900;    3;   4.3; 130;eor
        342;202012160910;    3;   4.3; 120;eor
        342;202012160920;    3;   1.9; 140;eor
        342;202012160930;    3;   2.6; 130;eor
        342;202012160940;    3;   1.6; 140;eor
        342;202012160950;    3;   1.5; 140;eor
        342;202012161000;    3;   2.5; 120;eor
        342;202012161010;    3;   4.0; 120;eor
        342;202012161020;    3;   4.6; 120;eor
        342;202012161030;    3;   3.6; 130;eor
        342;202012161040;    3;   2.8; 140;eor
        342;202012161050;    3;   2.1; 140;eor
        342;202012161100;    3;   3.3; 130;eor
        342;202012161110;    3;   4.2; 120;eor
        342;202012161120;    3;   4.8; 120;eor
        342;202012161130;    3;   4.2; 120;eor
        342;202012161140;    3;   3.1; 120;eor
        342;202012161150;    3;   2.9; 120;eor
        342;202012161200;    3;   2.8; 120;eor
        342;202012161210;    3;   3.3; 120;eor
        342;202012161220;    3;   3.1; 110;eor
        342;202012161230;    3;   3.1; 110;eor
        342;202012161240;    3;   2.7; 120;eor
        342;202012161250;    3;   2.8; 130;eor
        342;202012161300;    3;   2.8; 120;eor
        342;202012161310;    3;   3.1; 130;eor
        342;202012161320;    3;   3.3; 130;eor
        342;202012161330;    3;   3.3; 130;eor
        342;202012161340;    3;   3.2; 120;eor
        342;202012161350;    3;   2.9; 120;eor
        342;202012161400;    3;   2.7; 120;eor
        342;202012161410;    3;   2.9; 110;eor
        342;202012161420;    3;   2.4; 110;eor
        342;202012161430;    3;   2.7; 110;eor
        342;202012161440;    3;   2.4; 100;eor
        342;202012161450;    3;   1.8; 110;eor
        342;202012161500;    3;   1.9; 110;eor
        342;202012161510;    3;   2.6; 110;eor
        342;202012161520;    3;   2.7; 110;eor
        342;202012161530;    3;   2.3; 110;eor
        342;202012161540;    3;   2.1; 120;eor
        342;202012161550;    3;   2.3; 110;eor
        342;202012161600;    3;   3.2; 110;eor
        342;202012161610;    3;   3.5; 110;eor
        342;202012161620;    3;   3.2; 110;eor
        342;202012161630;    3;   3.0; 120;eor
        342;202012161640;    3;   3.2; 130;eor
        342;202012161650;    3;   3.4; 120;eor
        342;202012161700;    3;   3.9; 120;eor
        342;202012161710;    3;   3.7; 120;eor
        342;202012161720;    3;   4.8; 120;eor
        342;202012161730;    3;   4.3; 130;eor
        342;202012161740;    3;   3.9; 140;eor
        342;202012161750;    3;   4.0; 140;eor
        342;202012161800;    3;   3.8; 140;eor
        342;202012161810;    3;   4.7; 120;eor
        342;202012161820;    3;   4.7; 120;eor
        342;202012161830;    3;   4.3; 120;eor
        342;202012161840;    3;   3.7; 110;eor
        342;202012161850;    3;   3.8; 120;eor
        342;202012161900;    3;   3.5; 120;eor
        342;202012161910;    3;   3.8; 120;eor
        342;202012161920;    3;   3.5; 120;eor
        342;202012161930;    3;   3.6; 130;eor
        342;202012161940;    3;   3.9; 130;eor
        342;202012161950;    3;   3.9; 130;eor
        342;202012162000;    3;   4.0; 140;eor
        342;202012162010;    3;   3.9; 140;eor
        342;202012162020;    3;   3.7; 150;eor
        342;202012162030;    3;   4.0; 150;eor
        342;202012162040;    3;   4.3; 150;eor
        342;202012162050;    3;   4.0; 150;eor
        342;202012162100;    3;   4.2; 150;eor
        342;202012162110;    3;   3.9; 150;eor
        342;202012162120;    3;   4.5; 150;eor
        342;202012162130;    3;   4.1; 150;eor
        342;202012162140;    3;   4.3; 150;eor
        342;202012162150;    3;   4.4; 150;eor
        342;202012162200;    3;   4.6; 150;eor
        342;202012162210;    3;   4.8; 150;eor
        342;202012162220;    3;   5.0; 140;eor
        342;202012162230;    3;   4.9; 150;eor
        342;202012162240;    3;   4.8; 140;eor
        342;202012162250;    3;   5.0; 140;eor
        342;202012162300;    3;   5.1; 150;eor
        342;202012162310;    3;   5.0; 140;eor
        342;202012162320;    3;   4.9; 140;eor
        342;202012162330;    3;   4.7; 140;eor
        342;202012162340;    3;   4.5; 140;eor
        342;202012162350;    3;   4.6; 140;eor
        342;202012170000;    3;   4.5; 140;eor
        342;202012170010;    3;   4.2; 150;eor
        342;202012170020;    3;   3.5; 150;eor
        342;202012170030;    3;   3.4; 150;eor
        342;202012170040;    3;   3.0; 170;eor
        342;202012170050;    3;   2.6; 170;eor
        342;202012170100;    3;   2.7; 180;eor
        342;202012170110;    3;   3.4; 180;eor
        342;202012170120;    3;   2.6; 180;eor
        342;202012170130;    3;   2.0; 170;eor
        342;202012170140;    3;   2.7; 160;eor
        342;202012170150;    3;   3.0; 170;eor
        342;202012170200;    3;   2.9; 170;eor
        342;202012170210;    3;   3.1; 170;eor
        342;202012170220;    3;   2.9; 170;eor
        342;202012170230;    3;   2.9; 160;eor
        342;202012170240;    3;   2.3; 160;eor
        342;202012170250;    3;   2.9; 160;eor
        342;202012170300;    3;   2.1; 160;eor
        342;202012170310;    3;   3.1; 150;eor
        342;202012170320;    3;   2.4; 170;eor
        342;202012170330;    3;   2.7; 180;eor
        342;202012170340;    3;   3.3; 180;eor
        342;202012170350;    3;   3.5; 180;eor
        342;202012170400;    3;   3.1; 170;eor
        342;202012170410;    3;   3.2; 170;eor
        342;202012170420;    3;   3.4; 170;eor
        342;202012170430;    3;   3.6; 170;eor
        342;202012170440;    3;   3.5; 170;eor
        342;202012170450;    3;   3.3; 170;eor
        342;202012170500;    3;   3.5; 180;eor
        342;202012170510;    3;   3.3; 170;eor
        342;202012170520;    3;   3.3; 180;eor
        342;202012170530;    3;   4.1; 180;eor
        342;202012170540;    3;   4.7; 180;eor
        342;202012170550;    3;   5.0; 180;eor
        342;202012170600;    3;   4.8; 190;eor
        342;202012170610;    3;   5.1; 190;eor
        342;202012170620;    3;   5.2; 190;eor
        342;202012170630;    3;   5.3; 190;eor
        342;202012170640;    3;   5.5; 190;eor
        342;202012170650;    3;   5.7; 190;eor
        342;202012170700;    3;   5.6; 190;eor
        342;202012170710;    3;   5.2; 180;eor
        342;202012170720;    3;   5.3; 180;eor
        342;202012170730;    3;   5.4; 180;eor
        342;202012170740;    3;   5.7; 180;eor
        342;202012170750;    3;   5.9; 180;eor
        342;202012170800;    3;   6.2; 180;eor
        342;202012170810;    3;   5.9; 190;eor
        342;202012170820;    3;   5.8; 190;eor
        342;202012170830;    3;   5.4; 200;eor
        342;202012170840;    3;   6.1; 200;eor
        342;202012170850;    3;   5.4; 210;eor
        342;202012170900;    3;   5.3; 200;eor
        342;202012170910;    3;   5.8; 220;eor
        342;202012170920;    3;   5.6; 220;eor
        342;202012170930;    3;   5.8; 220;eor
        342;202012170940;    3;   6.7; 220;eor
        342;202012170950;    3;   5.6; 230;eor
        342;202012171000;    3;   6.3; 230;eor
        342;202012171010;    3;   6.0; 230;eor
        342;202012171020;    3;   5.6; 230;eor
        342;202012171030;    3;   5.6; 230;eor
        342;202012171040;    3;   6.0; 230;eor
        342;202012171050;    3;   5.9; 230;eor
        342;202012171100;    3;   5.3; 230;eor
        342;202012171110;    3;   4.8; 240;eor
        342;202012171120;    3;   5.4; 230;eor
        342;202012171130;    3;   5.2; 230;eor
        342;202012171140;    3;   5.5; 230;eor
        342;202012171150;    3;   6.1; 230;eor
        342;202012171200;    3;   5.1; 230;eor
        342;202012171210;    3;   5.2; 230;eor
        342;202012171220;    3;   5.5; 220;eor
        342;202012171230;    3;   5.4; 220;eor
        342;202012171240;    3;   5.7; 220;eor
        342;202012171250;    3;   5.3; 220;eor
        342;202012171300;    3;   5.7; 230;eor
        342;202012171310;    3;   6.1; 230;eor
        342;202012171320;    3;   5.8; 230;eor
        342;202012171330;    3;   5.5; 230;eor
        342;202012171340;    3;   5.6; 230;eor
        342;202012171350;    3;   6.7; 230;eor
        342;202012171400;    3;   6.2; 230;eor
        342;202012171410;    3;   7.1; 240;eor
        342;202012171420;    3;   6.3; 230;eor
        342;202012171430;    3;   4.6; 230;eor
        342;202012171440;    3;   4.4; 230;eor
        342;202012171450;    3;   4.2; 230;eor
        342;202012171500;    3;   3.9; 220;eor
        342;202012171510;    3;   5.5; 220;eor
        342;202012171520;    3;   4.5; 220;eor
        342;202012171530;    3;   5.6; 220;eor
        342;202012171540;    3;   5.6; 210;eor
        342;202012171550;    3;   4.8; 220;eor
        342;202012171600;    3;   5.3; 220;eor
        342;202012171610;    3;   4.4; 220;eor
        342;202012171620;    3;   4.2; 220;eor
        342;202012171630;    3;   4.3; 220;eor
        342;202012171640;    3;   4.4; 210;eor
        342;202012171650;    3;   5.1; 210;eor
        342;202012171700;    3;   4.5; 220;eor
        342;202012171710;    3;   4.3; 220;eor
        342;202012171720;    3;   4.1; 210;eor
        342;202012171730;    3;   4.0; 220;eor
        342;202012171740;    3;   4.9; 220;eor
        342;202012171750;    3;   4.8; 220;eor
        342;202012171800;    3;   4.3; 220;eor
        342;202012171810;    3;   4.5; 220;eor
        342;202012171820;    3;   4.9; 220;eor
        342;202012171830;    3;   4.4; 220;eor
        342;202012171840;    3;   4.6; 220;eor
        342;202012171850;    3;   4.1; 220;eor
        342;202012171900;    3;   4.1; 220;eor
        342;202012171910;    3;   4.1; 220;eor
        342;202012171920;    3;   3.5; 220;eor
        342;202012171930;    3;   3.3; 220;eor
        342;202012171940;    3;   4.0; 220;eor
        342;202012171950;    3;   3.3; 220;eor
        342;202012172000;    3;   3.4; 220;eor
        342;202012172010;    3;   3.1; 220;eor
        342;202012172020;    3;   2.8; 220;eor
        342;202012172030;    3;   2.5; 220;eor
        342;202012172040;    3;   2.8; 210;eor
        342;202012172050;    3;   2.6; 220;eor
        342;202012172100;    3;   2.4; 210;eor
        342;202012172110;    3;   2.6; 220;eor
        342;202012172120;    3;   2.9; 220;eor
        342;202012172130;    3;   3.0; 220;eor
        342;202012172140;    3;   3.0; 220;eor
        342;202012172150;    3;   3.3; 210;eor
        342;202012172200;    3;   3.4; 210;eor
