Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
1652700864;53.0;58;48;58;38.0221;-1000;-1000;-1000
1652708603;50.0;58;49;61;63.5627;-1000;-1000;-1000
1652709001;51.0;58;49;61;63.5627;-1000;-1000;-1000
1652709301;50.0;60;49;61;63.5627;-1000;-1000;-1000
1652709601;50.0;60;49;64;63.5627;-1000;-1000;-1000
1652709901;50.0;60;49;64;63.5627;-1000;-1000;-1000
1652710201;50.0;60;62;64;63.5627;-1000;-1000;-1000
1652710501;50.0;60;48;64;63.5627;-1000;-1000;-1000
1652710801;51.0;60;48;64;63.5627;-1000;-1000;-1000
1652711101;51.0;64;50;64;63.5627;-1000;-1000;-1000
1652711401;52.0;64;50;64;83.0884;-1000;-1000;-1000
1652711701;52.0;64;50;64;83.0884;-1000;-1000;-1000
1652712001;52.0;64;50;64;83.0884;-1000;-1000;-1000
1652712301;52.0;64;50;64;83.0884;-1000;-1000;-1000
1652712601;52.0;64;50;64;83.0884;-1000;-1000;-1000
1652712901;52.0;69;50;64;83.0884;-1000;-1000;-1000
1652713201;55.0;69;50;76;83.0884;-1000;-1000;-1000
1652713501;62.0;69;49;76;83.0884;-1000;-1000;-1000
1652713801;62.0;70;49;76;83.0884;-1000;-1000;-1000
1652719326;78.0;88;-1000;77;84.4462;-1000;-1000;-1000
1652719349;78.0;88;-1000;77;84.4462;-1000;-1000;-1000
1652719501;78.0;88;-1000;77;84.4462;-1000;-1000;-1000
1652719801;78.0;88;-1000;77;84.4462;-1000;-1000;-1000
1652720101;81.0;89;-1000;77;84.4462;-1000;-1000;-1000
1652720401;88.0;89;-1000;77;84.4462;-1000;-1000;-1000
1652720701;88.0;89;-1000;77;84.4462;-1000;-1000;-1000
1652721001;88.0;90;-1000;77;84.4462;-1000;-1000;-1000
1652721301;91.0;90;-1000;77;84.4462;-1000;-1000;-1000
1652721601;91.0;90;-1000;77;84.4462;-1000;-1000;-1000
1652721902;87.0;90;-1000;77;84.4462;-1000;-1000;-1000
1652722201;87.0;90;-1000;77;84.4462;-1000;-1000;-1000
1652722501;87.0;91;-1000;77;77.17;-1000;-1000;-1000
1652722801;87.0;91;-1000;77;77.17;-1000;-1000;-1000
1652723101;85.0;91;-1000;77;77.17;-1000;-1000;-1000
1652723401;85.0;91;-1000;77;77.17;-1000;-1000;-1000
1652723701;85.0;91;-1000;77;77.17;-1000;-1000;-1000
1652724001;85.0;91;-1000;77;77.17;-1000;-1000;-1000
1652724301;85.0;91;-1000;79;77.17;-1000;-1000;-1000
1652724601;85.0;91;-1000;79;77.17;-1000;-1000;-1000
1652724901;82.0;91;-1000;79;77.17;-1000;-1000;-1000
1652725201;82.0;91;-1000;79;77.17;-1000;-1000;-1000
1652725502;83.0;91;-1000;79;77.17;-1000;-1000;-1000
1652725802;83.0;92;-1000;79;77.17;-1000;-1000;-1000
1652726101;81.0;92;-1000;79;77.17;-1000;-1000;-1000
1652726401;81.0;92;-1000;79;81.0577;-1000;-1000;-1000
1652726701;81.0;92;-1000;79;81.0577;-1000;-1000;-1000
1652727001;81.0;92;-1000;79;81.0577;-1000;-1000;-1000
1652727301;81.0;92;-1000;79;81.0577;-1000;-1000;-1000
1652727602;81.0;90;-1000;79;81.0577;-1000;-1000;-1000
