;Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
0;1652700864;0;0;0;0;0;0;0;0
1;1652708603;0;0;0;0;0;0;0;0
2;1652709001;0;0;0;0;0;0;0;0
3;1652709301;0;0;0;0;0;0;0;0
4;1652709601;0;0;0;0;0;0;0;0
5;1652709901;0;0;0;0;0;0;0;0
6;1652710201;0;0;0;0;0;0;0;0
7;1652710501;0;0;0;0;0;0;0;0
8;1652710801;0;0;0;0;0;0;0;0
9;1652711101;0;0;0;0;0;0;0;0
10;1652711401;0;0;0;0;1;0;0;0
11;1652711701;1;0;0;0;1;0;0;0
12;1652712001;1;0;0;0;1;0;0;0
13;1652712301;0;0;0;0;1;0;0;0
14;1652712601;0;0;0;0;0;0;0;0
15;1652712901;0;0;1;0;0;0;0;0
16;1652713201;0;0;0;0;0;0;0;0
17;1652713501;0;0;0;0;0;0;0;0
18;1652713801;0;0;0;0;0;0;0;0
19;1652719326;1;0;0;0;1;0;0;0
20;1652719349;1;0;0;0;1;0;0;0
21;1652719501;1;0;0;0;1;0;0;0
22;1652719801;1;0;0;0;1;0;0;0
23;1652720101;1;0;0;0;1;0;0;0
24;1652720401;1;0;0;0;1;0;0;0
25;1652720701;1;0;0;0;1;0;0;0
26;1652721001;1;0;0;0;1;0;0;0
27;1652721301;0;0;0;0;1;0;0;0
28;1652721601;0;0;0;0;1;0;0;0
29;1652721902;0;0;0;0;1;0;0;0
30;1652722201;0;0;0;0;1;0;0;0
31;1652722501;0;0;0;0;0;0;0;0
32;1652722801;0;0;0;0;0;0;0;0
33;1652723101;0;0;0;0;1;0;0;0
34;1652723401;0;0;0;0;1;0;0;0
35;1652723701;1;0;0;0;1;0;0;0
36;1652724001;0;0;0;0;1;0;0;0
37;1652724301;0;0;0;0;1;0;0;0
38;1652724601;0;0;0;0;1;0;0;0
39;1652724901;0;0;0;0;0;0;0;0
40;1652725201;0;0;0;0;0;0;0;0
41;1652725502;0;0;0;0;1;0;0;0
42;1652725802;0;0;0;0;1;0;0;0
43;1652726101;0;0;0;0;1;0;0;0
44;1652726401;0;0;0;0;0;0;0;0
45;1652726701;0;0;0;0;0;0;0;0
46;1652727001;0;0;0;0;0;0;0;0
47;1652727301;0;0;0;0;0;0;0;0
48;1652727602;0;0;0;0;0;0;0;0
49;1652727901;0;0;0;0;0;0;0;0
50;1652728201;0;0;0;0;0;0;0;0
51;1652728501;0;0;0;0;0;0;0;0
52;1652728801;0;0;0;0;0;0;0;0
53;1652729101;0;0;0;0;0;0;0;0
54;1652729401;0;0;0;0;0;0;0;0
55;1652729701;0;0;0;0;0;0;0;0
