Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
1652700864;22.6;23.54;22.9;22.3;26.8;-1000;-1000;-1000
1652708603;23.8;23.92;24.0;23.8;22.9;-1000;-1000;-1000
1652709001;23.5;23.92;24.0;23.8;22.9;-1000;-1000;-1000
1652709301;23.8;24.15;24.0;23.8;22.9;-1000;-1000;-1000
1652709601;23.8;24.15;24.0;23.5;22.9;-1000;-1000;-1000
1652709901;23.9;24.15;24.0;23.5;22.9;-1000;-1000;-1000
1652710201;23.9;24;20.1;23.5;22.9;-1000;-1000;-1000
1652710501;23.9;24;24.2;23.5;22.9;-1000;-1000;-1000
1652710801;23.8;24;24.2;23.5;22.9;-1000;-1000;-1000
1652711101;24.0;23.57;23.8;23.5;22.9;-1000;-1000;-1000
1652711401;23.7;23.57;23.8;23.5;20.1;-1000;-1000;-1000
1652711701;23.7;23.57;23.8;23.5;20.1;-1000;-1000;-1000
1652712001;23.7;22.92;23.8;23.5;20.1;-1000;-1000;-1000
1652712301;23.6;22.92;23.8;23.5;20.1;-1000;-1000;-1000
1652712601;23.6;22.92;23.8;23.5;20.1;-1000;-1000;-1000
1652712901;23.6;22.6;23.8;23.5;20.1;-1000;-1000;-1000
1652713201;23.3;22.6;23.8;21.7;20.1;-1000;-1000;-1000
1652713501;22.0;22.6;24.4;21.7;20.1;-1000;-1000;-1000
1652713801;22.0;22.84;24.4;21.7;20.1;-1000;-1000;-1000
1652719326;17.9;18;-1000;20.5;19.2;-1000;-1000;-1000
1652719349;17.9;18;-1000;20.5;19.2;-1000;-1000;-1000
1652719501;17.9;18;-1000;20.5;19.2;-1000;-1000;-1000
1652719801;17.9;18;-1000;20.5;19.2;-1000;-1000;-1000
1652720101;17.5;17.68;-1000;20.5;19.2;-1000;-1000;-1000
1652720401;16.7;17.68;-1000;19.1;19.2;-1000;-1000;-1000
1652720701;16.7;17.68;-1000;19.1;19.2;-1000;-1000;-1000
1652721001;16.7;17.48;-1000;19.1;19.2;-1000;-1000;-1000
1652721301;16.4;17.48;-1000;19.1;19.2;-1000;-1000;-1000
1652721601;16.4;16.74;-1000;19.1;19.2;-1000;-1000;-1000
1652721902;16.8;16.74;-1000;19.1;19.2;-1000;-1000;-1000
1652722201;16.8;16.74;-1000;19.1;19.2;-1000;-1000;-1000
1652722501;16.8;16.89;-1000;19.1;18.7;-1000;-1000;-1000
1652722801;16.8;16.89;-1000;19.1;18.7;-1000;-1000;-1000
1652723101;16.9;16.7;-1000;19.1;18.7;-1000;-1000;-1000
1652723401;16.9;16.7;-1000;19.1;18.7;-1000;-1000;-1000
1652723701;16.9;16.7;-1000;19.1;18.7;-1000;-1000;-1000
1652724001;16.9;16.72;-1000;19.1;18.7;-1000;-1000;-1000
1652724301;16.9;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652724601;16.9;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652724901;17.1;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652725201;17.1;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652725502;17.0;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652725802;17.0;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652726101;17.1;16.72;-1000;17.9;18.7;-1000;-1000;-1000
1652726401;17.1;16.72;-1000;17.9;17.4;-1000;-1000;-1000
1652726701;17.1;16.58;-1000;17.9;17.4;-1000;-1000;-1000
1652727001;17.1;16.58;-1000;17.9;17.4;-1000;-1000;-1000
1652727301;17.1;16.58;-1000;17.9;17.4;-1000;-1000;-1000
1652727602;17.1;16.67;-1000;17.9;17.4;-1000;-1000;-1000
1652727901;17.1;16.67;-1000;16.3;17.4;-1000;-1000;-1000
1652728201;17.1;16.67;-1000;16.3;17.4;-1000;-1000;-1000
1652728501;17.1;16.44;-1000;16.3;17.4;-1000;-1000;-1000
1652728801;17.1;16.44;-1000;16.3;17.4;-1000;-1000;-1000
1652729101;17.2;16.42;-1000;16.3;17.4;-1000;-1000;-1000
1652729401;17.2;16.42;-1000;16.3;17.4;-1000;-1000;-1000
1652729701;17.2;16.42;-1000;16.3;17.4;-1000;-1000;-1000
1652730001;17.2;16.16;-1000;16.3;16.2;-1000;-1000;-1000
1652730301;17.3;16.16;-1000;16.0;16.2;-1000;-1000;-1000
1652730601;17.3;16.16;-1000;16.3;16.2;-1000;-1000;-1000
1652730901;17.1;15.87;-1000;16.3;16.2;-1000;-1000;-1000
1652731201;17.2;15.87;-1000;16.3;16.2;-1000;-1000;-1000
1652731501;17.2;15.66;-1000;14.9;16.2;-1000;-1000;-1000
1652731801;17.2;15.66;-1000;14.9;16.2;-1000;-1000;-1000
1652732101;17.2;15.66;-1000;14.9;16.2;-1000;-1000;-1000
1652732401;17.2;15.63;-1000;14.9;16.2;-1000;-1000;-1000
1652732701;16.9;15.63;-1000;14.9;16.2;-1000;-1000;-1000
1652733001;16.9;15.63;-1000;14.9;15.4;-1000;-1000;-1000
1652733301;16.9;15.6;-1000;14.9;15.4;-1000;-1000;-1000
1652733601;16.9;15.6;-1000;15.0;15.4;-1000;-1000;-1000
1652733901;16.4;15.6;-1000;14.9;15.4;-1000;-1000;-1000
1652734201;16.4;15.29;-1000;14.9;15.4;-1000;-1000;-1000
1652734501;16.6;15.29;-1000;14.9;15.4;-1000;-1000;-1000
1652734802;16.6;15.11;-1000;14.9;15.4;-1000;-1000;-1000
1652735101;16.5;15.11;-1000;14.0;15.4;-1000;-1000;-1000
1652735401;16.5;15.11;-1000;14.0;15.4;-1000;-1000;-1000
1652735701;16.2;15.09;-1000;14.0;15.4;-1000;-1000;-1000
1652736001;15.8;15.09;-1000;14.0;15.4;-1000;-1000;-1000
1652736301;15.8;15.09;-1000;14.0;15.4;-1000;-1000;-1000
1652736601;15.8;15.3;-1000;14.0;14.8;-1000;-1000;-1000
1652736901;15.6;15.3;-1000;14.0;14.8;-1000;-1000;-1000
1652737201;15.6;15.3;-1000;14.0;14.8;-1000;-1000;-1000
1652737501;15.6;15.08;-1000;14.0;14.8;-1000;-1000;-1000
1652737801;15.0;15.08;-1000;14.0;14.8;-1000;-1000;-1000
1652738101;14.9;15.08;-1000;14.0;14.8;-1000;-1000;-1000
1652738401;15.1;14.86;-1000;14.0;14.8;-1000;-1000;-1000
1652738701;15.1;14.86;-1000;13.0;14.8;-1000;-1000;-1000
1652739001;15.1;14.86;-1000;13.0;14.8;-1000;-1000;-1000
1652739301;15.7;15.03;-1000;13.0;14.8;-1000;-1000;-1000
1652739601;15.7;15.03;-1000;13.0;14.8;-1000;-1000;-1000
1652739901;16.1;15.03;-1000;13.0;14.8;-1000;-1000;-1000
1652740201;16.1;15.03;-1000;13.0;14.7;-1000;-1000;-1000
1652740501;16.5;15.03;-1000;13.0;14.7;-1000;-1000;-1000
1652740801;16.5;15.15;-1000;13.0;14.7;-1000;-1000;-1000
1652741101;16.6;15.15;-1000;13.0;14.7;-1000;-1000;-1000
1652741401;16.6;15.31;-1000;13.0;14.7;-1000;-1000;-1000
1652741701;16.5;15.31;-1000;13.0;14.7;-1000;-1000;-1000
1652742001;16.5;15.31;-1000;13.0;14.7;-1000;-1000;-1000
1652742301;16.4;15.23;-1000;13.0;14.7;-1000;-1000;-1000
1652742601;16.4;15.23;-1000;13.0;14.7;-1000;-1000;-1000
1652742901;16.4;15.23;-1000;13.0;14.7;-1000;-1000;-1000
1652743201;16.0;14.93;-1000;13.0;14.7;-1000;-1000;-1000
1652743501;15.3;14.93;-1000;13.0;14.7;-1000;-1000;-1000
1652743801;15.3;14.93;-1000;13.0;14.7;-1000;-1000;-1000
1652744101;14.8;14.93;-1000;13.0;13.8;-1000;-1000;-1000
1652744401;14.8;14.56;-1000;13.0;13.8;-1000;-1000;-1000
1652744702;14.5;14.56;-1000;13.0;13.8;-1000;-1000;-1000
1652745001;14.5;14.56;-1000;13.0;13.8;-1000;-1000;-1000
1652745302;14.4;14.25;-1000;13.0;13.8;-1000;-1000;-1000
1652745601;14.4;14.25;-1000;13.0;13.8;-1000;-1000;-1000
1652745901;14.2;14.25;-1000;12.6;13.8;-1000;-1000;-1000
1652746201;14.2;14.16;-1000;12.6;13.8;-1000;-1000;-1000
1652746501;14.2;14.16;-1000;12.6;13.8;-1000;-1000;-1000
1652746801;14.1;14.16;-1000;12.6;13.8;-1000;-1000;-1000
1652747101;13.7;13.99;-1000;12.6;13.8;-1000;-1000;-1000
1652747401;13.7;13.99;-1000;12.6;13.8;-1000;-1000;-1000
1652747701;13.9;13.99;-1000;12.6;13.1;-1000;-1000;-1000
1652748001;13.9;13.65;-1000;12.6;13.1;-1000;-1000;-1000
