Time;BuienRadar;OpenWeatherMap;AccuWeather;WeatherAPI;WeatherBitIO;Meteomatics;Aeris;Foreca
1652700864;;0;0;0;0;-1000;-1000;-1000
1652708603;;0;0;0;0;-1000;-1000;-1000
1652709001;;0;0;0;0;-1000;-1000;-1000
1652709301;;0;0;0;0;-1000;-1000;-1000
1652709601;;0;0;0;0;-1000;-1000;-1000
1652709901;;0;0;0;0;-1000;-1000;-1000
1652710201;;0;0;0;0;-1000;-1000;-1000
1652710501;;0;0;0;0;-1000;-1000;-1000
1652710801;;0;0;0;0;-1000;-1000;-1000
1652711101;;0;0;0;0;-1000;-1000;-1000
1652711401;;0;0;0;0;-1000;-1000;-1000
1652711701;;0;0;0;0;-1000;-1000;-1000
1652712001;;0;0;0;0;-1000;-1000;-1000
1652712301;;0;0;0;0;-1000;-1000;-1000
1652712601;;0;0;0;0;-1000;-1000;-1000
1652712901;;0;0;0;0;-1000;-1000;-1000
1652713201;;0;0;0;0;-1000;-1000;-1000
1652713501;;0;0;0;0;-1000;-1000;-1000
1652713801;;0;0;0;0;-1000;-1000;-1000
1652719326;;0;-1000;0;0;-1000;-1000;-1000
1652719349;;0;-1000;0;0;-1000;-1000;-1000
1652719501;;0;-1000;0;0;-1000;-1000;-1000
1652719801;;0;-1000;0;0;-1000;-1000;-1000
1652720101;;0;-1000;0;0;-1000;-1000;-1000
1652720401;;0;-1000;0;0;-1000;-1000;-1000
1652720701;;0;-1000;0;0;-1000;-1000;-1000
1652721001;;0;-1000;0;0;-1000;-1000;-1000
1652721301;;0;-1000;0;0;-1000;-1000;-1000
1652721601;;0;-1000;0;0;-1000;-1000;-1000
1652721902;;0;-1000;0;0;-1000;-1000;-1000
1652722201;;0;-1000;0;0;-1000;-1000;-1000
1652722501;;0;-1000;0;0;-1000;-1000;-1000
1652722801;;0;-1000;0;0;-1000;-1000;-1000
1652723101;;0;-1000;0;0;-1000;-1000;-1000
1652723401;;0;-1000;0;0;-1000;-1000;-1000
1652723701;;0;-1000;0;0;-1000;-1000;-1000
1652724001;;0;-1000;0;0;-1000;-1000;-1000
1652724301;;0;-1000;0;0;-1000;-1000;-1000
1652724601;;0;-1000;0;0;-1000;-1000;-1000
1652724901;;0;-1000;0;0;-1000;-1000;-1000
1652725201;;0;-1000;0;0;-1000;-1000;-1000
1652725502;;0;-1000;0;0;-1000;-1000;-1000
1652725802;;0;-1000;0;0;-1000;-1000;-1000
1652726101;;0;-1000;0;0;-1000;-1000;-1000
1652726401;;0;-1000;0;0;-1000;-1000;-1000
1652726701;;0;-1000;0;0;-1000;-1000;-1000
1652727001;;0;-1000;0;0;-1000;-1000;-1000
1652727301;;0;-1000;0;0;-1000;-1000;-1000
1652727602;;0;-1000;0;0;-1000;-1000;-1000
1652727901;;0;-1000;0;0;-1000;-1000;-1000
1652728201;;0;-1000;0;0;-1000;-1000;-1000
1652728501;;0;-1000;0;0;-1000;-1000;-1000
1652728801;;0;-1000;0;0;-1000;-1000;-1000
1652729101;;0;-1000;0;0;-1000;-1000;-1000
1652729401;;0;-1000;0;0;-1000;-1000;-1000
1652729701;;0;-1000;0;0;-1000;-1000;-1000
1652730001;;0;-1000;0;0;-1000;-1000;-1000
1652730301;;0;-1000;0;0;-1000;-1000;-1000
1652730601;;0;-1000;0;0;-1000;-1000;-1000
1652730901;;0;-1000;0;0;-1000;-1000;-1000
1652731201;;0;-1000;0;0;-1000;-1000;-1000
1652731501;;0;-1000;0;0;-1000;-1000;-1000
1652731801;;0;-1000;0;0;-1000;-1000;-1000
1652732101;;0;-1000;0;0;-1000;-1000;-1000
1652732401;;0;-1000;0;0;-1000;-1000;-1000
1652732701;;0;-1000;0;0;-1000;-1000;-1000
1652733001;;0;-1000;0;0;-1000;-1000;-1000
1652733301;;0;-1000;0;0;-1000;-1000;-1000
1652733601;;0;-1000;0;0;-1000;-1000;-1000
1652733901;;0;-1000;0;0;-1000;-1000;-1000
1652734201;;0;-1000;0;0;-1000;-1000;-1000
1652734501;;0;-1000;0;0;-1000;-1000;-1000
1652734802;;0;-1000;0;0;-1000;-1000;-1000
1652735101;;0;-1000;0;0;-1000;-1000;-1000
1652735401;;0;-1000;0;0;-1000;-1000;-1000
1652735701;;0;-1000;0;0;-1000;-1000;-1000
1652736001;;0;-1000;0;0;-1000;-1000;-1000
1652736301;;0;-1000;0;0;-1000;-1000;-1000
1652736601;;0;-1000;0;0;-1000;-1000;-1000
1652736901;;0;-1000;0;0;-1000;-1000;-1000
1652737201;;0;-1000;0;0;-1000;-1000;-1000
1652737501;;0;-1000;0;0;-1000;-1000;-1000
1652737801;;0;-1000;0;0;-1000;-1000;-1000
1652738101;;0;-1000;0;0;-1000;-1000;-1000
1652738401;;0;-1000;0;0;-1000;-1000;-1000
1652738701;;0;-1000;0;0;-1000;-1000;-1000
1652739001;;0;-1000;0;0;-1000;-1000;-1000
1652739301;;0;-1000;0;0;-1000;-1000;-1000
1652739601;;0;-1000;0;0;-1000;-1000;-1000
1652739901;;0;-1000;0;0;-1000;-1000;-1000
1652740201;;0;-1000;0;0;-1000;-1000;-1000
1652740501;;0;-1000;0;0;-1000;-1000;-1000
1652740801;;0;-1000;0;0;-1000;-1000;-1000
